"date....row.names.as.matrix.st.." "X6283.TW.Open" "X6283.TW.High" "X6283.TW.Low" "X6283.TW.Close" "X6283.TW.Volume" "X6283.TW.Adjusted" "mm" "ss1" "ss2" "ss3" "ss4"
"2014-02-25" 11.25005 11.45004 11.20006 11.25005 389400 20.6567 2.70812413308814 -18.4231195829539 -7.86042032128348 13.2766685874598 23.8393678491302
"2014-02-26" 11.35004 11.35004 11.20006 11.30005 257000 20.7485 2.73104157182242 -18.4002021442196 -7.83750288254921 13.299586026194 23.8622852878645
"2014-02-27" 11.30005 11.40004 11.25005 11.30005 257000 20.7485 2.7539590105567 -18.3772847054854 -7.81458544381493 13.3225034649283 23.8852027265988
"2014-02-28" 11.30005 11.30005 11.30005 11.30005 0 20.7485 2.77687644929098 -18.3543672667511 -7.79166800508065 13.3454209036626 23.908120165333
"2014-03-03" 11.30005 11.30005 11.10006 11.10006 218300 20.3813 2.79979388802526 -18.3314498280168 -7.76875056634637 13.3683383423969 23.9310376040673
"2014-03-04" 11.10006 11.25005 10.90002 10.95002 282600 20.1058 2.82271132675954 -18.3085323892825 -7.74583312761209 13.3912557811312 23.9539550428016
"2014-03-05" 10.95002 11.05001 10.75004 10.80003 453100 19.8304 2.84562876549381 -18.2856149505482 -7.72291568887781 13.4141732198654 23.9768724815359
"2014-03-06" 10.80003 11.10006 10.70004 11.00002 461200 20.1976 2.86854620422809 -18.262697511814 -7.69999825014354 13.4370906585997 23.9997899202702
"2014-03-07" 11.00002 11.20006 10.85003 10.85003 332700 19.9222 2.89146364296237 -18.2397800730797 -7.67708081140926 13.460008097334 24.0227073590044
"2014-03-10" 11.00002 11.00002 10.80003 10.85003 180200 19.9222 2.91438108169665 -18.2168626343454 -7.65416337267498 13.4829255360683 24.0456247977387
"2014-03-11" 10.95002 11.00002 10.80003 10.85003 161200 19.9222 2.93729852043093 -18.1939451956111 -7.6312459339407 13.5058429748026 24.068542236473
"2014-03-12" 10.85003 10.95002 10.65004 10.70004 246100 19.6468 2.96021595916521 -18.1710277568769 -7.60832849520642 13.5287604135368 24.0914596752073
"2014-03-13" 10.70004 10.90002 10.65004 10.75004 239600 19.7386 2.98313339789949 -18.1481103181426 -7.58541105647214 13.5516778522711 24.1143771139416
"2014-03-14" 10.70004 10.75004 10.60005 10.65004 279900 19.555 3.00605083663376 -18.1251928794083 -7.56249361773786 13.5745952910054 24.1372945526758
"2014-03-17" 10.65004 10.65004 10.35007 10.40001 550600 19.0959 3.02896827536804 -18.102275440674 -7.53957617900358 13.5975127297397 24.1602119914101
"2014-03-18" 10.65004 10.65004 10.45006 10.60005 314200 19.4632 3.05188571410232 -18.0793580019397 -7.51665874026931 13.6204301684739 24.1831294301444
"2014-03-19" 10.60005 10.60005 10.35007 10.40001 295100 19.0959 3.0748031528366 -18.0564405632055 -7.49374130153503 13.6433476072082 24.2060468688787
"2014-03-20" 10.40001 10.40001 10.25002 10.30002 210700 18.9123 3.09772059157088 -18.0335231244712 -7.47082386280075 13.6662650459425 24.2289643076129
"2014-03-21" 10.35007 10.40001 10.20002 10.25002 171500 18.8205 3.12063803030516 -18.0106056857369 -7.44790642406647 13.6891824846768 24.2518817463472
"2014-03-24" 10.35007 10.35007 10.05004 10.20002 138300 18.7287 3.14355546903944 -17.9876882470026 -7.42498898533219 13.7120999234111 24.2747991850815
"2014-03-25" 10.20002 10.30002 10.20002 10.25002 220000 18.8205 3.16647290777371 -17.9647708082683 -7.40207154659791 13.7350173621453 24.2977166238158
"2014-03-26" 10.25002 10.95002 10.25002 10.95002 874600 20.1058 3.18939034650799 -17.9418533695341 -7.37915410786363 13.7579348008796 24.3206340625501
"2014-03-27" 11.00002 11.70007 11.00002 11.70007 2543900 21.483 3.21230778524227 -17.9189359307998 -7.35623666912936 13.7808522396139 24.3435515012843
"2014-03-28" 11.75007 11.80006 11.20006 11.20006 985700 20.5649 3.23522522397655 -17.8960184920655 -7.33331923039508 13.8037696783482 24.3664689400186
"2014-03-31" 11.25005 11.25005 11.00002 11.10006 418800 20.3813 3.25814266271083 -17.8731010533312 -7.3104017916608 13.8266871170825 24.3893863787529
"2014-04-01" 11.10006 11.10006 10.70004 10.90002 502600 20.014 3.28106010144511 -17.850183614597 -7.28748435292652 13.8496045558167 24.4123038174872
"2014-04-02" 10.90002 11.10006 10.90002 10.95002 347400 20.1058 3.30397754017939 -17.8272661758627 -7.26456691419224 13.872521994551 24.4352212562215
"2014-04-03" 10.95002 10.95002 10.65004 10.75004 559800 19.7386 3.32689497891366 -17.8043487371284 -7.24164947545796 13.8954394332853 24.4581386949557
"2014-04-04" 10.75004 10.75004 10.75004 10.75004 0 19.7386 3.34981241764794 -17.7814312983941 -7.21873203672368 13.9183568720196 24.48105613369
"2014-04-07" 10.60005 11.00002 10.50006 10.70004 529900 19.6468 3.37272985638222 -17.7585138596598 -7.19581459798941 13.9412743107538 24.5039735724243
"2014-04-08" 10.90002 10.90002 10.60005 10.65004 261400 19.555 3.3956472951165 -17.7355964209256 -7.17289715925513 13.9641917494881 24.5268910111586
"2014-04-09" 10.60005 10.80003 10.60005 10.75004 198700 19.7386 3.41856473385078 -17.7126789821913 -7.14997972052085 13.9871091882224 24.5498084498928
"2014-04-10" 10.75004 10.80003 10.50006 10.55005 414900 19.3714 3.44148217258506 -17.689761543457 -7.12706228178657 14.0100266269567 24.5727258886271
"2014-04-11" 10.55005 10.90002 10.40001 10.80003 467800 19.8304 3.46439961131934 -17.6668441047227 -7.10414484305229 14.032944065691 24.5956433273614
"2014-04-14" 10.80003 11.05001 10.80003 10.85003 411700 19.9222 3.48731705005362 -17.6439266659884 -7.08122740431801 14.0558615044252 24.6185607660957
"2014-04-15" 10.65004 10.65004 10.45006 10.50006 1308100 19.2796 3.51023448878789 -17.6210092272542 -7.05830996558373 14.0787789431595 24.64147820483
"2014-04-16" 10.50006 10.90002 10.40001 10.65004 717200 19.555 3.53315192752217 -17.5980917885199 -7.03539252684946 14.1016963818938 24.6643956435642
"2014-04-17" 10.70004 10.70004 10.55005 10.70004 443300 19.6468 3.55606936625645 -17.5751743497856 -7.01247508811518 14.1246138206281 24.6873130822985
"2014-04-18" 10.50006 10.65004 10.50006 10.65004 273300 19.555 3.57898680499073 -17.5522569110513 -6.9895576493809 14.1475312593624 24.7102305210328
"2014-04-21" 10.65004 10.65004 10.45006 10.55005 262500 19.3714 3.60190424372501 -17.5293394723171 -6.96664021064662 14.1704486980966 24.7331479597671
"2014-04-22" 10.55005 10.55005 10.40001 10.45006 558700 19.1878 3.62482168245929 -17.5064220335828 -6.94372277191234 14.1933661368309 24.7560653985014
"2014-04-23" 10.50006 10.50006 10.35007 10.35007 284200 19.0042 3.64773912119357 -17.4835045948485 -6.92080533317806 14.2162835755652 24.7789828372356
"2014-04-24" 10.35007 10.55005 10.25002 10.30002 311500 18.9123 3.67065655992784 -17.4605871561142 -6.89788789444378 14.2392010142995 24.8019002759699
"2014-04-25" 10.20002 10.35007 9.92003 10.05004 631200 18.4533 3.69357399866212 -17.4376697173799 -6.87497045570951 14.2621184530338 24.8248177147042
"2014-04-28" 9.80006 9.97003 9.51004 9.78001 392100 17.9575 3.7164914373964 -17.4147522786457 -6.85205301697523 14.285035891768 24.8477351534385
"2014-04-29" 9.80006 10.20002 9.80006 10.10003 225400 18.5451 3.73940887613068 -17.3918348399114 -6.82913557824095 14.3079533305023 24.8706525921727
"2014-04-30" 10.15003 10.25002 9.70001 10.00004 227100 18.3615 3.76232631486496 -17.3689174011771 -6.80621813950667 14.3308707692366 24.893570030907
