"Code" "Name" "Close" "Price" "Rsquared" "Slope" "Sd"
"1608.TW" "華榮" "8.96" "exHigh" "0.7498229" "-0.006316496" "0.9595087"
"1609.TW" "大亞" "5.7" "exHigh" "0.6877595" "-0.003469226" "0.614734"
"1611.TW" "中電" "7.66" "High" "0.8699311" "-0.008696112" "0.8842962"
"1612.TW" "宏泰" "9.1" "High" "0.4113764" "-0.002455689" "0.7725041"
"1613.TW" "台一" "2.55" "Normally" "0.7102083" "-0.004274657" "0.7180912"
"1614.TW" "三洋電" "24.7" "High" "0.8208435" "-0.01914065" "2.35164"
"1615.TW" "大山" "10.85" "High" "0.1239159" "-0.001049653" "0.733979"
"1616.TW" "億泰" "5.25" "Normally" "0.313749" "-0.001834052" "0.7133297"
"1617.TW" "榮星" "8.17" "exHigh" "0.7315036" "-0.003386476" "0.539557"
"1618.TW" "合機" "8.41" "High" "0.5367865" "-0.003004133" "0.7339005"
"1626.TW" "艾美特-KY" "25.75" "High" "0.7495906" "-0.07415446" "11.27142"
"1701.TW" "中化" "18.1" "Normally" "0.7677169" "-0.006832349" "0.9883405"
"1702.TW" "南僑" "64.1" "Low" "0.5015518" "0.02436221" "6.387003"
"1704.TW" "榮化" "44.25" "High" "0.05076566" "0.008121543" "9.235673"
"1707.TW" "葡萄王" "178.5" "exLow" "0.6973792" "0.1243961" "21.55013"
"1708.TW" "東鹼" "29.35" "Normally" "0.2231127" "-0.008870947" "4.353265"
"1709.TW" "和益" "17" "Normally" "0.3279051" "0.003318471" "1.249417"
"1710.TW" "東聯" "27.7" "exHigh" "0.7330732" "-0.01371168" "2.175912"
"1711.TW" "永光" "20.1" "Normally" "0.3959596" "-0.01044151" "3.391556"
"1712.TW" "興農" "15.45" "High" "0.3429227" "-0.003378775" "1.229979"
"1713.TW" "國化" "14.95" "Normally" "0.3272225" "-0.002575075" "0.9710292"
"1714.TW" "和桐" "8.52" "exHigh" "0.8090863" "-0.0100351" "1.28195"
"1715.TW" "萬洲" "11.5" "Normally" "0.6142529" "-0.01147981" "2.392438"
"1717.TW" "長興" "33.95" "Normally" "0.460895" "0.00670297" "1.906475"
"1718.TW" "中纖" "8.92" "High" "0.7738799" "-0.006459862" "0.9182994"
"1720.TW" "生達" "32.4" "Normally" "0.6219942" "-0.01601495" "3.283296"
"1721.TW" "三晃" "15" "Normally" "0.7326256" "0.007497174" "1.19109"
"1722.TW" "台肥" "40.7" "High" "0.8726737" "-0.03519425" "3.535356"
"1723.TW" "中碳" "122.5" "High" "0.781733" "-0.1021328" "14.19249"
"1724.TW" "台硝" "16.4" "Normally" "0.01952182" "-0.0006712918" "1.251118"
"1725.TW" "元禎" "14.2" "High" "0.2572362" "-0.001715571" "0.7666485"
"1726.TW" "永記" "80.9" "Normally" "0.01063517" "-0.002354879" "5.973143"
"1727.TW" "中華化" "13.35" "Normally" "0.5963289" "-0.006826991" "1.477163"
"1729.TW" "必翔" "64.3" "exLow" "0.768895" "0.05403883" "7.791219"
"1730.TW" "花仙子" "38.1" "Normally" "0.8612034" "0.01797069" "1.897272"
"1731.TW" "美吾華" "14" "High" "0.5462766" "-0.002621283" "0.6282485"
"1732.TW" "毛寶" "13.3" "Normally" "0.1053806" "0.001378651" "1.056383"
"1733.TW" "五鼎" "40.05" "Normally" "0.7555373" "-0.03730118" "5.579936"
"1734.TW" "杏輝" "23.95" "Normally" "0.8619501" "-0.03899065" "4.103607"
"1735.TW" "日勝化" "12.45" "Normally" "0.01372531" "0.0003362669" "0.7496358"
"1736.TW" "喬山" "45.4" "Normally" "0.7861756" "-0.0547221" "7.505159"
"1737.TW" "臺鹽" "29.75" "Normally" "0.1399112" "0.003984346" "2.597949"
"1762.TW" "中化生" "27" "Normally" "0.6425749" "-0.02539527" "4.980946"
"1773.TW" "勝一" "54" "exHigh" "0.07574732" "-0.004975297" "4.57045"
"1776.TW" "展宇" "21.3" "Low" "0.161347" "0.006498203" "3.900396"
"1783.TW" "和康生" "24.35" "Normally" "0.6099286" "-0.03650891" "7.678205"
"1786.TW" "科妍" "50.9" "Normally" "0.5465113" "-0.05205478" "12.47018"
"1789.TW" "神隆" "38.25" "Normally" "0.7563406" "-0.06103004" "9.109716"
"1802.TW" "台玻" "13.2" "High" "0.8480407" "-0.02398851" "2.670465"
"1805.TW" "寶徠" "5.64" "High" "0.9383913" "-0.01236325" "0.833086"
"1806.TW" "冠軍" "7.06" "High" "0.8582824" "-0.007725809" "0.8255988"
"1808.TW" "潤隆" "34.6" "High" "0.06745754" "0.002912183" "2.847515"
